"date","year","month","lake_672425","lake_641807","lake_719135","lake_672424","month_code","maxTemp","minTemp","precip","snowfall"
"2002-06",2002,"06",0,0.0135,0.1062,0.1188,"Jun",87.1,53.9,1.18,0
"2002-07",2002,"07",0.0846,0.0081,0.099,0.1278,"Jul",93.4,60.2,0.09,0
"2002-08",2002,"08",NA,NA,0.0918,0.1467,"Aug",87.8,54.8,1.44,0
"2002-09",2002,"09",0,0,0,0,"Sep",77.6,50.5,1.52,0
"2002-10",2002,"10",0,0,0,0,"Oct",58.2,33.6,2.44,16.1
"2002-11",2002,"11",0,0,0,0,"Nov",52.6,28,0.78,13
"2002-12",2002,"12",NA,NA,0.1359,0.1359,"Dec",48.3,24.9,0.02,0.5
"2003-01",2003,"01",0.1008,2.898,0.1296,0.0864,"Jan",53.9,26.5,0.09,0.5
"2003-02",2003,"02",0.0837,0.7956,0.1323,0.0909,"Feb",43.1,20,1.52,22.8
"2003-03",2003,"03",0.1143,2.0961,0.1188,0.1197,"Mar",56.4,30.9,5.44,34.7
"2003-04",2003,"04",0.072,0.7587,0.1017,0.0522,"Apr",64,37.2,2.99,6.2
"2003-05",2003,"05",0.0756,1.719,0.1035,0.0945,"May",71.6,43.1,2.62,5.2
"2003-06",2003,"06",0.0441,0.7011,0.0963,0.1107,"Jun",76.2,49.4,2.69,0
"2003-07",2003,"07",0.0324,0.0036,0.0936,0.0162,"Jul",92.4,59.3,0.71,0
"2003-08",2003,"08",NA,NA,0.0891,0.0504,"Aug",87.3,58.4,3.52,0
"2003-09",2003,"09",0,0,0,0,"Sep",75.6,45.4,0.35,0
"2003-10",2003,"10",0,0,0,0,"Oct",73.5,41.3,0.45,0.4
"2003-11",2003,"11",0,0,0,0,"Nov",49.8,28.1,0.8,7.5
"2003-12",2003,"12",NA,NA,0.0873,0.0918,"Dec",48.3,24.4,0.84,9.9
"2004-01",2004,"01",0.0999,0.0603,0.1206,0.18,"Jan",47.3,23.5,0.82,12
"2004-02",2004,"02",0.0909,0.0099,0.0774,0.1341,"Feb",46.4,21.5,1.31,18
"2004-03",2004,"03",0.0846,0.171,0.0738,0.081,"Mar",62.8,33.5,1.09,7.9
"2004-04",2004,"04",0.0792,0.0171,0.0648,0.1278,"Apr",61.4,37,5.66,14.9
"2004-05",2004,"05",0.0558,0,0.0459,0.0873,"May",74.2,45.7,1.28,NA
"2004-06",2004,"06",0.0414,9e-04,0.0819,0.0621,"Jun",76.2,49.2,3.96,0
"2004-07",2004,"07",0.0243,9e-04,0.0855,0.0648,"Jul",83.5,54.8,3.44,0
"2004-08",2004,"08",NA,NA,0.0864,0.0504,"Aug",81,51.8,2.88,0
"2004-09",2004,"09",0,0,0,0,"Sep",77.9,47.8,2.07,0
"2004-10",2004,"10",0,0,0,0,"Oct",65,38.5,2.32,0
"2004-11",2004,"11",0,0,0,0,"Nov",50.6,28.8,1.99,17.6
"2004-12",2004,"12",NA,NA,0.1296,0.1404,"Dec",48.3,24.6,0.35,6.7
"2005-01",2005,"01",0.0351,0.0108,0.1494,0.1377,"Jan",47.2,23.7,1.4,15.9
"2005-02",2005,"02",0.0639,0.1089,0.18,0.1368,"Feb",49.7,26.1,0.31,3.3
"2005-03",2005,"03",0.0702,0.009,0.153,0.0747,"Mar",53.9,30,1.22,11.2
"2005-04",2005,"04",0.0513,0.1296,0.1395,0.1494,"Apr",61.7,35.1,3.86,21.8
"2005-05",2005,"05",0.0783,0.171,0.117,0.0801,"May",70.6,44.6,1.91,0.2
"2005-06",2005,"06",0.072,0,0.0666,0.063,"Jun",79.9,50.9,2.68,NA
"2005-07",2005,"07",0.0684,0,0.063,0.0567,"Jul",91.6,58.5,0.42,0
"2005-08",2005,"08",NA,NA,0.0756,0.1521,"Aug",84.2,55.2,1.63,0
"2005-09",2005,"09",0,NA,0,0,"Sep",81.6,50.8,0.42,0
"2005-10",2005,"10",0,0,0,0,"Oct",66.9,39.3,2.8,NA
"2005-11",2005,"11",0,0,0,0,"Nov",58.4,31.3,0.34,1.9
"2005-12",2005,"12",NA,NA,0.1071,0.1143,"Dec",46,21,0.43,6.3
"2006-01",2006,"01",0.0711,NA,0.1152,0.0738,"Jan",53.3,28.1,0.44,5.5
"2006-02",2006,"02",0.0927,0,0.126,0.0702,"Feb",46.4,21,0.68,11.4
"2006-03",2006,"03",0.0756,0,0.1026,0.0711,"Mar",52.3,26.5,2.08,23.3
"2006-04",2006,"04",0.0567,0,0.0945,0.0603,"Apr",69.7,38.1,1.04,2.9
"2006-05",2006,"05",0.0693,0,0.072,0.0639,"May",76,45.9,1.14,0.1
"2006-06",2006,"06",0.0513,0.0045,0.0396,0.1332,"Jun",88.8,54.4,1.32,NA
"2006-07",2006,"07",0.045,0,0.0468,0.063,"Jul",88.8,59.9,2.63,0
"2006-08",2006,"08",NA,NA,NA,NA,"Aug",85.3,57.9,1.23,0
"2006-09",2006,"09",0,0,0,0,"Sep",72.9,43.9,1.25,0
"2006-10",2006,"10",0,0,0,0,"Oct",63.5,38.5,3.71,15.2
"2006-11",2006,"11",0,0,0,0,"Nov",56.4,30.3,0.74,12
"2006-12",2006,"12",NA,NA,NA,NA,"Dec",46.3,24.3,3.05,45.5
"2007-01",2007,"01",0.0738,0,0.1575,0.1395,"Jan",39.6,14.8,1.68,27.5
"2007-02",2007,"02",0,0,0.1773,0.1386,"Feb",47.4,21.8,0.86,15.3
"2007-03",2007,"03",0.0594,0,0.1683,0.0513,"Mar",61,34.2,1.69,4.5
"2007-04",2007,"04",0.0711,0,0.1818,0.1422,"Apr",60.6,35.1,2.24,2.2
"2007-05",2007,"05",0.0135,0,0.1728,0.0882,"May",72.6,43.4,1.79,NA
"2007-06",2007,"06",0.0072,0,0.1251,0.0666,"Jun",84.6,50.7,0.38,0
"2007-07",2007,"07",0.0018,0.1665,0.1143,0.0261,"Jul",90.3,59.2,0.8,NA
"2007-08",2007,"08",NA,NA,0.0963,NA,"Aug",88.8,58.3,1.92,0
"2007-09",2007,"09",0,0,0,0,"Sep",79.6,49.3,1.92,0
"2007-10",2007,"10",0,0,0,0,"Oct",69.7,40.7,1.38,0.1
"2007-11",2007,"11",0,0,0,0,"Nov",58.7,31,0.47,5.9
"2007-12",2007,"12",NA,NA,0.1485,NA,"Dec",42,18.1,2.1,30
"2008-01",2008,"01",0.0135,0,0.1557,0.1584,"Jan",43.4,19.8,0.46,10.3
"2008-02",2008,"02",0.0459,0.0999,0.153,0.1485,"Feb",49.5,22.7,0.63,10.4
"2008-03",2008,"03",0.1071,0,0.1386,0.1125,"Mar",54.4,27.5,1.47,17.6
"2008-04",2008,"04",0.1368,0,0.135,0.1431,"Apr",63,32.6,1.13,7.9
"2008-05",2008,"05",0.1233,9e-04,0.1305,0.1503,"May",71.6,42.5,4.21,0.7
"2008-06",2008,"06",0.1206,0,0.1098,0.1395,"Jun",82,50.1,1.58,0
"2008-07",2008,"07",0.099,0.018,0.1071,0.0693,"Jul",92,58,0.09,0
"2008-08",2008,"08",NA,NA,0.1125,NA,"Aug",84.4,54.8,2.97,0
"2008-09",2008,"09",NA,NA,0,0,"Sep",76.2,45.6,1.84,0
"2008-10",2008,"10",NA,0,0,0,"Oct",66,37.6,1.18,0.2
"2008-11",2008,"11",0,0,0,0,"Nov",59.5,32.5,0.13,1.3
"2008-12",2008,"12",NA,NA,0.1611,NA,"Dec",45,17.2,1.33,20.9
"2009-01",2009,"01",NA,NA,0.171,0.1233,"Jan",50.3,26.1,0.62,13
"2009-02",2009,"02",NA,2.9673,0.18,0.1395,"Feb",52.4,26.9,0.27,3.9
"2009-03",2009,"03",0.0036,2.4489,0.1611,0.0576,"Mar",59.1,29.4,1.89,21.4
"2009-04",2009,"04",0,2.5497,0.1629,0.0459,"Apr",60.7,33.9,5.88,20.4
"2009-05",2009,"05",0.0207,1.7811,0.1539,0.0603,"May",72.5,46.1,3.08,0
"2009-06",2009,"06",0.0288,0.9522,0.1134,0.0054,"Jun",76.3,49.6,2.7,0
"2009-07",2009,"07",0.0873,0.2475,0.0981,0.0198,"Jul",84.5,54.6,1.42,0
"2009-08",2009,"08",NA,NA,0.099,NA,"Aug",84.7,54.2,0.33,0
"2009-09",2009,"09",NA,NA,0,0,"Sep",78.3,47.9,0.42,0
"2009-10",2009,"10",0,0,0,0,"Oct",57.1,31.9,3.26,30.1
"2009-11",2009,"11",0,0,0,0,"Nov",56.8,30.7,0.93,8.9
"2009-12",2009,"12",NA,NA,0.0747,NA,"Dec",37.8,15.5,1.39,27.8
"2010-01",2010,"01",NA,NA,0.1548,0.0594,"Jan",44.9,21.2,0.28,4.6
"2010-02",2010,"02",0.1368,1.6497,0.1944,9e-04,"Feb",41.1,19.3,1.37,23
"2010-03",2010,"03",0,0.5508,0.1926,0,"Mar",55.8,29.6,3.3,28.7
"2010-04",2010,"04",0.1017,1.0755,0.1746,0,"Apr",62.2,35.3,3.63,5.8
"2010-05",2010,"05",0.1035,0.6219,0.1503,0,"May",67.8,40,2.71,5.6
"2010-06",2010,"06",0.1062,0.2646,0.1116,0,"Jun",81.5,52.3,3.36,0
"2010-07",2010,"07",0.0954,0.2439,0.1062,0,"Jul",88.1,56.8,2.31,0
"2010-08",2010,"08",NA,NA,0.1053,0,"Aug",87.3,57.5,1.07,0
"2010-09",2010,"09",NA,NA,0,0,"Sep",84,49.1,0.25,0
"2010-10",2010,"10",0,0,0,0,"Oct",69.1,40.8,0.94,NA
"2010-11",2010,"11",0,0,0,0,"Nov",52.3,27.2,0.61,2
"2010-12",2010,"12",NA,NA,0.1287,0.0243,"Dec",50,24.4,0.48,9.5
"2011-01",2011,"01",NA,NA,0.1512,0.009,"Jan",45,21.1,0.96,18.2
"2011-02",2011,"02",0.1152,4.4901,0.1476,0.0207,"Feb",45.8,18.1,1.02,13.2
"2011-03",2011,"03",0.0783,4.5423,0.1251,0.0018,"Mar",59.3,31.1,0.33,0.7
"2011-04",2011,"04",0.1305,2.4984,0.117,0,"Apr",62.8,35.2,2.41,3.5
"2011-05",2011,"05",0.1188,3.3174,0.1089,0,"May",65.9,41.4,5.16,0.2
"2011-06",2011,"06",0.1035,1.8477,0.0702,0,"Jun",83.9,51.2,1.35,0
"2011-07",2011,"07",0.09,1.8648,0.0648,0,"Jul",88.6,58.4,2.87,0
"2011-08",2011,"08",NA,NA,0.0657,NA,"Aug",91.6,58.6,1.08,0
"2011-09",2011,"09",NA,0,0,0,"Sep",78.2,48.5,2.56,0
"2011-10",2011,"10",0,0,0,0,"Oct",68.3,37.5,1.65,11.5
"2011-11",2011,"11",0,0,0,0,"Nov",54.9,29.7,0.98,8.6
"2011-12",2011,"12",NA,NA,0.1197,NA,"Dec",45.1,19.2,1.92,33.1
"2012-01",2012,"01",NA,4.2813,0.117,0,"Jan",52.1,25.6,0.38,7.8
"2012-02",2012,"02",0.0783,0,0.1305,0,"Feb",43.9,20.6,1.94,32.1
"2012-03",2012,"03",0.0783,0.072,0.117,0,"Mar",65.8,35.8,0.01,NA
"2012-04",2012,"04",9e-04,3.6657,0.1008,0,"Apr",69.2,39.4,1.31,1.6
"2012-05",2012,"05",0,2.1195,0.0891,0,"May",76.3,44,1.78,NA
"2012-06",2012,"06",0,1.6866,0.0828,0,"Jun",91.2,57.1,0.38,0
"2012-07",2012,"07",0,NA,0.0738,0,"Jul",89.7,59.9,4.99,0
"2012-08",2012,"08",NA,NA,0.0693,NA,"Aug",89,57.4,0.36,0
"2012-09",2012,"09",0,NA,0,0,"Sep",81,50.9,2.27,0
"2012-10",2012,"10",0,NA,0,0,"Oct",64.5,37.1,1.44,7.9
"2012-11",2012,"11",0,NA,0,0,"Nov",59.9,32.2,0.28,0.8
"2012-12",2012,"12",NA,NA,0.0828,NA,"Dec",46.3,21.1,0.51,11.7
"2013-01",2013,"01",0.0126,NA,0.0117,0,"Jan",46.2,19.7,0.27,3.7
"2013-02",2013,"02",0.0315,NA,0.1053,0,"Feb",44.6,19.6,1.13,18.5
"2013-03",2013,"03",0.0405,3.6,0.1026,0,"Mar",54,27,1.72,22.8
"2013-04",2013,"04",0.1359,4.2039,0.0927,0,"Apr",57.7,29.8,4.14,47.6
"2013-05",2013,"05",0.1143,3.6738,0.0837,0,"May",71.7,43.6,2.66,12.3
"2013-06",2013,"06",0.1287,3.5523,0.0954,0,"Jun",86.2,53.5,0.61,0
"2013-07",2013,"07",0.1404,2.7747,0.0936,0,"Jul",86.8,57.5,1.03,0
"2013-08",2013,"08",NA,NA,0.1017,0,"Aug",87.6,56.7,1.4,0
"2013-09",2013,"09",0,0,0,0,"Sep",77.7,52.5,18.16,0
"2013-10",2013,"10",0,0,0,0,"Oct",60,35.6,2.24,5.4
"2013-11",2013,"11",0,0,0,0,"Nov",56.7,29.7,0.29,6.3
"2013-12",2013,"12",NA,NA,0.1278,0.0018,"Dec",44.3,18.7,0.5,9
"2014-01",2014,"01",0.0639,2.1114,0.1305,0,"Jan",48.5,20.7,1.67,27.2
"2014-02",2014,"02",0.1431,4.2273,0.0702,0,"Feb",45.1,18.9,0.68,11.7
"2014-03",2014,"03",0,4.5126,0.1314,0.018,"Mar",58.5,28.7,1.62,11.2
"2014-04",2014,"04",0.1206,4.2597,0.1053,0,"Apr",63.6,36,1.87,12.2
"2014-05",2014,"05",0.1071,4.1931,0.1044,0,"May",70.2,42.9,4.43,6.8
"2014-06",2014,"06",0.1017,4.2084,0.0936,0,"Jun",81.8,50.6,0.84,0
"2014-07",2014,"07",0.1008,4.2858,0.0612,0,"Jul",86.4,57.9,4.57,0
"2014-08",2014,"08",NA,NA,0.0648,0,"Aug",83.2,55.1,1.6,0
"2014-09",2014,"09",0,0,0,0,"Sep",78.4,49.1,2.88,0.5
"2014-10",2014,"10",0,0,0,0,"Oct",69.8,40.7,1.16,0
"2014-11",2014,"11",0,0,0,0,"Nov",51.4,25.2,0.88,16.9
"2014-12",2014,"12",NA,NA,0.0945,0,"Dec",46.1,21.6,1.37,19.8
"2015-01",2015,"01",0.1044,4.6422,0.1089,0,"Jan",49.8,23.1,0.38,6
"2015-02",2015,"02",0.0963,4.5396,0.1314,0,"Feb",49.9,23.2,3.69,54.6
"2015-03",2015,"03",0.0972,4.473,0.1935,0.0081,"Mar",60.5,31.6,0.38,8
"2015-04",2015,"04",0.126,4.4784,0.3528,0,"Apr",63.5,36.6,4.5,7.4
"2015-05",2015,"05",0.1026,2.808,0.4149,0,"May",62.9,41.9,7.82,3.9
"2015-06",2015,"06",0.0855,0,0.3879,0,"Jun",82.8,53.8,1.76,NA
"2015-07",2015,"07",0.0423,NA,0.3789,0,"Jul",84.9,55.7,2.98,0
"2015-08",2015,"08",NA,NA,0.3537,NA,"Aug",87.7,56,0.31,0
"2015-09",2015,"09",0,0,0,0,"Sep",84.8,51.4,0.14,0
"2015-10",2015,"10",0,0,0,0,"Oct",69.4,42.9,2.02,0
"2015-11",2015,"11",0,NA,0,0,"Nov",54,27.5,1.83,11.5
"2015-12",2015,"12",NA,NA,0.3681,NA,"Dec",44.5,21.7,1.11,17.4
"2016-01",2016,"01",0.0972,3.4569,0.3753,0,"Jan",46.6,21.6,0.37,4.1
"2016-02",2016,"02",0.0909,3.7386,0.3717,0,"Feb",54.4,27.3,1.44,21.8
"2016-03",2016,"03",0.0711,3.8214,0.3573,0,"Mar",55.9,30,3.84,32.5
"2016-04",2016,"04",0.0954,3.5145,0.3438,0,"Apr",61.3,36.7,3.34,21.4
"2016-05",2016,"05",0.0792,2.565,0.324,0,"May",67.2,40.9,2.01,1
"2016-06",2016,"06",0.0585,1.989,0.27,0,"Jun",86.4,54.5,2.37,0
"2016-07",2016,"07",0.0036,NA,0.2547,0,"Jul",90.1,57.8,0.61,0
"2016-08",2016,"08",NA,NA,0.2232,NA,"Aug",85.7,55,1.06,0
"2016-09",2016,"09",0,0,0,0,"Sep",81.2,48.6,0.45,0
"2016-10",2016,"10",0,0,0,0,"Oct",74.5,43,0.38,0
"2016-11",2016,"11",0,NA,0,0,"Nov",62,32.9,0.47,4.4
"2016-12",2016,"12",NA,NA,0.2097,NA,"Dec",46.3,17.6,0.91,13
"2017-01",2017,"01",0.0153,3.6765,0.2619,0,"Jan",44.3,20,1.41,18.7
"2017-02",2017,"02",0.1107,4.005,0.2619,0,"Feb",55.2,29.4,0.73,9.9
"2017-03",2017,"03",0.108,3.5316,0.3456,0,"Mar",65,35.5,1.45,NA
"2017-04",2017,"04",0.0909,1.5957,0.3834,0,"Apr",63.7,34.1,3.15,19.4
"2017-05",2017,"05",0.072,1.2528,0.3762,0,"May",70,41.4,6.29,6.1
"2017-06",2017,"06",0.0684,1.0251,0.3816,0,"Jun",85,52.4,0.45,0
"2017-07",2017,"07",0.0693,0.8064,0.3771,0,"Jul",89.8,58,1.3,0
"2017-08",2017,"08",NA,NA,0.3789,NA,"Aug",83.7,54.2,1.62,0
"2017-09",2017,"09",NA,NA,0,0,"Sep",77.6,49.4,1.92,0
"2017-10",2017,"10",0,0,0,0,"Oct",66.6,36.4,2.42,8
"2017-11",2017,"11",0,0,0,0,"Nov",61.4,33.5,0.57,4.1
"2017-12",2017,"12",NA,NA,0.2376,NA,"Dec",50.6,22.1,0.68,10.2
"2018-01",2018,"01",NA,NA,0.4338,0,"Jan",51.9,23.5,0.74,8.8
"2018-02",2018,"02",0.126,2.9367,0.4284,0.0153,"Feb",46,19,1.04,18.5
"2018-03",2018,"03",0.1197,2.2878,0.4077,0,"Mar",57.9,28.8,2.23,6.8
"2018-04",2018,"04",0.1314,1.3275,0.3951,0,"Apr",64.7,33.5,1.35,6
"2018-05",2018,"05",0.1242,0.2358,0.3447,0,"May",73.5,45.9,4.76,0
"2018-06",2018,"06",0.1143,0.0261,0.3006,0,"Jun",86,53.7,1.82,0
"2018-07",2018,"07",NA,NA,0.2889,0,"Jul",88.1,56.8,1.84,0
"2018-08",2018,"08",NA,NA,NA,NA,"Aug",86.8,55,0.24,0
"2018-09",2018,"09",0,NA,0,NA,"Sep",82.8,50.6,1.02,0
"2018-10",2018,"10",0,0,0,0,"Oct",63.6,37.2,2.68,10.1
"2018-11",2018,"11",NA,NA,0,0,"Nov",52.6,26.1,1.19,16.4
"2018-12",2018,"12",NA,NA,NA,NA,"Dec",47.1,20.5,0.34,5.7
"2019-01",2019,"01",0.1224,NA,0.3114,NA,"Jan",47.9,21.9,1.57,14.5
"2019-02",2019,"02",0.1332,1.854,0.2574,0.0045,"Feb",43.9,18,0.74,14.6
"2019-03",2019,"03",0.0666,0.5085,0.297,0,"Mar",50.3,24.1,2.83,16.2
"2019-04",2019,"04",0.0099,0.0621,0.2952,0,"Apr",64.3,36,1.87,10.2
"2019-05",2019,"05",0.1188,0,0.2988,0,"May",63.8,38.6,3.89,7.4
"2019-06",2019,"06",0.1035,0.1746,0.2718,0,"Jun",79.5,49.6,2.12,0
"2019-07",2019,"07",0.1044,NA,0.2232,0,"Jul",88.9,57.2,2.21,0
"2019-08",2019,"08",NA,NA,0.1782,NA,"Aug",89.8,57.7,0.1,0
"2019-09",2019,"09",0,0,0,0,"Sep",84.8,50.7,0.56,0
"2019-10",2019,"10",0,0,0,0,"Oct",60.5,30.9,2.42,26.4
"2019-11",2019,"11",0,NA,0,0,"Nov",52.2,25.9,2.38,29.5
"2019-12",2019,"12",NA,NA,0.2412,NA,"Dec",47.2,24.1,0.35,3.4
